"Instance_number","'True Positives'","'False Negatives'","'False Positives'","'True Negatives'","'False Positive Rate'","'True Positive Rate'","Precision","Recall","Fallout","FMeasure","'Sample Size'","Lift","Threshold"
192,918,215,2115,17442,0.108145,0.810238,0.302671,0.810238,0.697329,0.440711,0.146593,5.527145,0.01472
193,918,215,2112,17445,0.107992,0.810238,0.30297,0.810238,0.69703,0.441028,0.146448,5.532617,0.014734
194,918,215,2110,17447,0.10789,0.810238,0.30317,0.810238,0.69683,0.44124,0.146351,5.536272,0.014758
195,918,215,2109,17448,0.107839,0.810238,0.303271,0.810238,0.696729,0.441346,0.146303,5.538101,0.014767
196,918,215,2107,17450,0.107736,0.810238,0.303471,0.810238,0.696529,0.441558,0.146206,5.541762,0.014774
197,918,215,2106,17451,0.107685,0.810238,0.303571,0.810238,0.696429,0.441665,0.146158,5.543595,0.014789
198,918,215,2104,17453,0.107583,0.810238,0.303772,0.810238,0.696228,0.441877,0.146061,5.547264,0.014801
199,918,215,2103,17454,0.107532,0.810238,0.303873,0.810238,0.696127,0.441984,0.146013,5.5491,0.014809
200,918,215,2100,17457,0.107378,0.810238,0.304175,0.810238,0.695825,0.442303,0.145868,5.554616,0.014874
201,918,215,2099,17458,0.107327,0.810238,0.304276,0.810238,0.695724,0.44241,0.145819,5.556457,0.014893
202,918,215,2096,17461,0.107174,0.810238,0.304579,0.810238,0.695421,0.44273,0.145674,5.561988,0.014905
203,918,215,2095,17462,0.107123,0.810238,0.30468,0.810238,0.69532,0.442836,0.145626,5.563834,0.014922
204,917,216,2092,17465,0.106969,0.809356,0.304752,0.809356,0.695248,0.442781,0.145433,5.565161,0.014936
205,917,216,2091,17466,0.106918,0.809356,0.304854,0.809356,0.695146,0.442888,0.145384,5.567011,0.014964
206,917,216,2084,17473,0.10656,0.809356,0.305565,0.809356,0.694435,0.443638,0.145046,5.579996,0.015033
207,917,216,2083,17474,0.106509,0.809356,0.305667,0.809356,0.694333,0.443745,0.144998,5.581856,0.015063
208,917,216,2082,17475,0.106458,0.809356,0.305769,0.809356,0.694231,0.443853,0.144949,5.583718,0.015069
209,917,216,2079,17478,0.106305,0.809356,0.306075,0.809356,0.693925,0.444175,0.144804,5.589309,0.015097
210,917,216,2078,17479,0.106254,0.809356,0.306177,0.809356,0.693823,0.444283,0.144756,5.591175,0.015122
211,917,216,2076,17481,0.106151,0.809356,0.306382,0.809356,0.693618,0.444498,0.144659,5.594911,0.015132
212,917,216,2074,17483,0.106049,0.809356,0.306586,0.809356,0.693414,0.444714,0.144563,5.598652,0.015221
213,917,216,2073,17484,0.105998,0.809356,0.306689,0.809356,0.693311,0.444822,0.144514,5.600525,0.015222
214,917,216,2072,17485,0.105947,0.809356,0.306792,0.809356,0.693208,0.44493,0.144466,5.602399,0.015237
215,917,216,2071,17486,0.105896,0.809356,0.306894,0.809356,0.693106,0.445038,0.144418,5.604274,0.015242
216,916,217,2069,17488,0.105793,0.808473,0.306868,0.808473,0.693132,0.444876,0.144273,5.603788,0.015265
217,916,217,2068,17489,0.105742,0.808473,0.306971,0.808473,0.693029,0.444984,0.144224,5.605666,0.015295
218,916,217,2066,17491,0.10564,0.808473,0.307176,0.808473,0.692824,0.4452,0.144128,5.609426,0.015303
219,916,217,2064,17493,0.105538,0.808473,0.307383,0.808473,0.692617,0.445417,0.144031,5.613191,0.015362
220,916,217,2062,17495,0.105435,0.808473,0.307589,0.808473,0.692411,0.445634,0.143934,5.61696,0.015407
221,916,217,2061,17496,0.105384,0.808473,0.307692,0.808473,0.692308,0.445742,0.143886,5.618847,0.015472
222,915,218,2059,17498,0.105282,0.80759,0.307666,0.80759,0.692334,0.445581,0.143741,5.618375,0.015586
223,915,218,2057,17500,0.10518,0.80759,0.307873,0.80759,0.692127,0.445798,0.143644,5.622156,0.015613
224,915,218,2053,17504,0.104975,0.80759,0.308288,0.80759,0.691712,0.446233,0.143451,5.629733,0.015654
225,915,218,2052,17505,0.104924,0.80759,0.308392,0.80759,0.691608,0.446341,0.143403,5.63163,0.01566
226,915,218,2051,17506,0.104873,0.80759,0.308496,0.80759,0.691504,0.44645,0.143354,5.633529,0.015721
227,915,218,2050,17507,0.104822,0.80759,0.3086,0.80759,0.6914,0.446559,0.143306,5.635429,0.015745
228,915,218,2049,17508,0.104771,0.80759,0.308704,0.80759,0.691296,0.446668,0.143258,5.63733,0.015751
229,914,219,2047,17510,0.104668,0.806708,0.30868,0.806708,0.69132,0.446507,0.143113,5.636875,0.015828
230,914,219,2044,17513,0.104515,0.806708,0.308993,0.806708,0.691007,0.446835,0.142968,5.642591,0.015845
231,914,219,2043,17514,0.104464,0.806708,0.309097,0.806708,0.690903,0.446944,0.142919,5.6445,0.015887
232,914,219,2041,17516,0.104362,0.806708,0.309306,0.806708,0.690694,0.447162,0.142823,5.64832,0.015949
233,914,219,2040,17517,0.10431,0.806708,0.309411,0.806708,0.690589,0.447272,0.142774,5.650232,0.01603
234,914,219,2037,17520,0.104157,0.806708,0.309726,0.806708,0.690274,0.4476,0.142629,5.655976,0.016075
235,914,219,2030,17527,0.103799,0.806708,0.310462,0.806708,0.689538,0.448369,0.142291,5.669424,0.016132
236,914,219,2029,17528,0.103748,0.806708,0.310567,0.806708,0.689433,0.448479,0.142243,5.671351,0.016143
